rd_id,id,fuji_percent,fuji_percent_f,fuji_percent_a,fuji_percent_i,fuji_percent_r,fuji_percent_f1,fuji_percent_f2,fuji_percent_f3,fuji_percent_f4,fuji_percent_a1,fuji_percent_i1,fuji_percent_i2,fuji_percent_i3,fuji_percent_r1,fuji_percent_r1_1,fuji_percent_r1_2,fuji_percent_r1_3,FsF-F1-01D,FsF-F1-02D,FsF-F2-01M,FsF-F3-01M,FsF-F4-01M,FsF-A1-01M,FsF-A1-02M,FsF-A1-03D,FsF-I1-01M,FsF-I2-01M,FsF-I3-01M,FsF-R1-01MD,FsF-R1.1-01M,FsF-R1.2-01M,FsF-R1.3-01M,FsF-R1.3-02D
10.17169/refubium-38279,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-41698,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-34513,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-27566,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-42364,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
10.17169/refubium-44214,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
10.17169/refubium-34928,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-27301,score_percent,56.25,85.71,50,50,40,100,100,0,100,50,50,0,100,25,50,50,50,100,100,100,0,100,50,100,0,50,0,100,25,50,50,100,0
10.17169/refubium-34764,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-31813,score_percent,52.08,85.71,50,25,40,100,100,0,100,50,50,0,0,25,50,50,50,100,100,100,0,100,50,100,0,50,0,0,25,50,50,100,0
10.17169/refubium-36159,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
10.17169/refubium-27303.2,score_percent,58.33,85.71,33.33,50,50,100,100,0,100,33.33,50,0,100,25,100,50,50,100,100,100,0,100,0,100,0,50,0,100,25,100,50,100,0
10.17169/refubium-41265,score_percent,54.17,85.71,33.33,25,50,100,100,0,100,33.33,50,0,0,25,100,50,50,100,100,100,0,100,0,100,0,50,0,0,25,100,50,100,0
