"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","tub_accessrights","tub_affiliation","doi"
"oai:depositonce.tu-berlin.de:11303/5544","2016-06-09T09:29:27Z","https://creativecommons.org/licenses/by-nc-sa/4.0/",2,0,0,3,1,0,2,1,0,0,1,0,6,1,1,1,4,"10.14279/depositonce-5173"
"oai:depositonce.tu-berlin.de:11303/12637","2021-02-19T09:26:28Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,1,0,2,1,0,0,1,0,5,1,1,1,4,"10.14279/depositonce-11447"
"oai:depositonce.tu-berlin.de:11303/22036","2024-07-11T07:19:16Z","https://creativecommons.org/licenses/by-nc-sa/4.0/",3,0,0,3,4,0,2,1,0,1,1,0,7,1,1,1,1,"10.14279/depositonce-20837"
"oai:depositonce.tu-berlin.de:11303/19808","2023-08-18T10:50:39Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,1,0,2,1,0,1,1,0,8,1,1,1,1,"10.14279/depositonce-18607"
"oai:depositonce.tu-berlin.de:11303/17874","2022-12-22T09:19:39Z","https://creativecommons.org/licenses/by/4.0/",3,0,0,3,1,0,2,1,0,1,1,0,13,1,1,1,1,"10.14279/depositonce-16663"
"oai:depositonce.tu-berlin.de:11303/8200","2018-09-25T09:25:52Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-7355"
"oai:depositonce.tu-berlin.de:11303/19674","2023-08-18T05:42:02Z","https://creativecommons.org/licenses/by-nc-sa/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,8,1,1,1,1,"10.14279/depositonce-18473"
"oai:depositonce.tu-berlin.de:11303/19123","2023-06-06T13:32:54Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17920"
"oai:depositonce.tu-berlin.de:11303/9549","2019-07-03T13:07:40Z","http://rightsstatements.org/vocab/InC/1.0/",1,0,0,3,3,0,2,1,0,1,1,0,15,1,1,1,4,"10.14279/depositonce-8599"
"oai:depositonce.tu-berlin.de:11303/8979","2019-02-11T12:15:00Z","https://creativecommons.org/licenses/by-nc-nd/4.0/",6,0,0,3,2,0,2,1,0,2,1,0,5,1,1,1,4,"10.14279/depositonce-8102"
"oai:depositonce.tu-berlin.de:11303/19125","2023-06-06T13:57:48Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17922"
"oai:depositonce.tu-berlin.de:11303/21201","2024-03-07T09:46:49Z","https://choosealicense.com/licenses/mit/",3,0,0,3,1,0,2,1,0,0,1,0,11,1,1,1,1,"10.14279/depositonce-20001"
"oai:depositonce.tu-berlin.de:11303/19412","2023-06-21T11:14:46Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-18208"
"oai:depositonce.tu-berlin.de:11303/12788","2021-03-12T09:04:51Z","https://choosealicense.com/licenses/mit/",2,0,0,3,2,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-11588"
"oai:depositonce.tu-berlin.de:11303/19109","2023-06-06T13:48:17Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17906"
"oai:depositonce.tu-berlin.de:11303/5548","2016-06-13T09:48:49Z","https://creativecommons.org/licenses/by-nc/4.0/",3,0,0,3,1,0,2,1,0,2,1,0,2,1,1,1,4,"10.14279/depositonce-5177"
"oai:depositonce.tu-berlin.de:11303/11750.3","2021-01-12T08:55:07Z","https://creativecommons.org/licenses/by/4.0/",3,0,0,3,1,0,2,1,0,1,1,0,10,1,1,1,3,"10.14279/depositonce-10638.3"
"oai:depositonce.tu-berlin.de:11303/19082","2023-06-06T11:51:34Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17879"
"oai:depositonce.tu-berlin.de:11303/22656","2024-10-11T09:17:19Z","https://creativecommons.org/licenses/by/4.0/",5,0,0,3,2,0,2,1,0,0,1,0,12,1,1,1,1,"10.14279/depositonce-21457"
"oai:depositonce.tu-berlin.de:11303/19663","2023-07-31T12:18:09Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,7,1,1,1,1,"10.14279/depositonce-18462"
"oai:depositonce.tu-berlin.de:11303/245.6","2016-03-07T17:14:52Z","https://creativecommons.org/licenses/by/4.0/",4,0,0,4,1,0,2,1,0,1,1,0,11,1,1,1,8,"10.14279/depositonce-87.6"
"oai:depositonce.tu-berlin.de:11303/19792","2023-08-24T05:47:28Z","https://creativecommons.org/licenses/by-nc/4.0/",2,0,0,3,1,0,2,2,0,0,1,0,17,1,1,1,1,"10.14279/depositonce-18591"
"oai:depositonce.tu-berlin.de:11303/18214","2023-02-16T07:53:45Z","https://creativecommons.org/licenses/by/4.0/",6,0,0,3,2,0,2,1,0,0,1,0,11,1,1,1,2,"10.14279/depositonce-17007"
"oai:depositonce.tu-berlin.de:11303/19122","2023-06-06T14:16:56Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17919"
"oai:depositonce.tu-berlin.de:11303/243","2014-10-10T10:38:11Z","http://rightsstatements.org/vocab/InC/1.0/",1,0,0,3,3,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-86"
"oai:depositonce.tu-berlin.de:11303/19688","2023-08-04T09:53:03Z","https://creativecommons.org/publicdomain/zero/1.0/",17,0,0,3,1,0,2,1,0,2,1,0,15,1,1,1,1,"10.14279/depositonce-18487"
"oai:depositonce.tu-berlin.de:11303/241","2014-10-10T10:33:55Z","http://rightsstatements.org/vocab/InC/1.0/",1,0,0,3,3,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-84"
"oai:depositonce.tu-berlin.de:11303/19079","2023-06-06T12:00:42Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17876"
"oai:depositonce.tu-berlin.de:11303/20589","2023-11-15T12:58:48Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,1,1,0,13,1,1,1,1,"10.14279/depositonce-19387"
"oai:depositonce.tu-berlin.de:11303/7504","2018-03-14T12:41:05Z","https://creativecommons.org/licenses/by-sa/4.0/",2,0,0,3,2,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-6724"
"oai:depositonce.tu-berlin.de:11303/17656.2","2022-11-14T14:00:19Z","https://creativecommons.org/licenses/by/4.0/",11,0,0,3,2,0,2,1,0,0,1,0,5,1,1,1,1,"10.14279/depositonce-16440.2"
"oai:depositonce.tu-berlin.de:11303/19667","2023-07-31T12:18:30Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,8,1,1,1,1,"10.14279/depositonce-18466"
"oai:depositonce.tu-berlin.de:11303/17782","2022-12-07T06:31:39Z","https://creativecommons.org/licenses/by-nc/4.0/",6,0,0,3,1,0,2,1,0,0,1,0,6,1,1,1,1,"10.14279/depositonce-16571"
"oai:depositonce.tu-berlin.de:11303/19111","2023-06-06T13:53:22Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17908"
"oai:depositonce.tu-berlin.de:11303/11713","2021-02-02T09:34:24Z","http://rightsstatements.org/vocab/InC/1.0/",2,0,0,3,1,0,2,1,0,0,1,0,19,1,1,1,4,"10.14279/depositonce-10605"
"oai:depositonce.tu-berlin.de:11303/10297","2019-12-17T13:04:45Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,1,0,2,1,0,2,1,0,8,1,1,1,4,"10.14279/depositonce-9259"
"oai:depositonce.tu-berlin.de:11303/13664","2021-10-14T09:21:32Z","http://rightsstatements.org/vocab/InC/1.0/",2,0,0,3,1,0,2,3,0,0,1,0,16,1,1,1,4,"10.14279/depositonce-12452"
"oai:depositonce.tu-berlin.de:11303/19084","2023-06-16T06:29:15Z","https://creativecommons.org/licenses/by/4.0/",3,0,0,3,4,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17881"
"oai:depositonce.tu-berlin.de:11303/8082","2018-08-07T08:58:58Z","https://creativecommons.org/licenses/by/4.0/",5,0,0,3,2,0,2,1,0,0,1,0,4,1,1,1,4,"10.14279/depositonce-7243"
"oai:depositonce.tu-berlin.de:11303/16413","2022-02-17T10:21:03Z","https://creativecommons.org/licenses/by/4.0/",3,0,0,3,1,0,2,1,0,1,1,0,7,1,1,1,4,"10.14279/depositonce-15189"
"oai:depositonce.tu-berlin.de:11303/19129","2023-06-07T11:00:12Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17926"
"oai:depositonce.tu-berlin.de:11303/7685","2018-04-24T10:34:47Z","https://creativecommons.org/licenses/by-nc/4.0/",3,0,0,3,1,0,2,1,0,0,1,0,7,1,1,1,4,"10.14279/depositonce-6869"
"oai:depositonce.tu-berlin.de:11303/9561","2019-07-26T10:11:19Z","https://creativecommons.org/licenses/by-sa/4.0/",2,0,0,3,2,0,2,1,0,1,1,0,6,1,1,1,4,"10.14279/depositonce-8609"
"oai:depositonce.tu-berlin.de:11303/11504","2020-07-28T09:08:14Z","https://creativecommons.org/licenses/by/4.0/",1,0,0,3,1,0,2,1,0,0,1,0,7,1,1,1,4,"10.14279/depositonce-10386"
"oai:depositonce.tu-berlin.de:11303/19112","2023-06-06T13:43:46Z","https://creativecommons.org/licenses/by/4.0/",2,0,0,3,2,0,2,3,0,1,1,0,9,1,1,1,1,"10.14279/depositonce-17909"
"oai:depositonce.tu-berlin.de:11303/17601.2","2022-12-06T13:52:14Z","https://creativecommons.org/licenses/by-nc-nd/4.0/",28,0,0,3,3,0,2,1,0,0,1,0,5,1,1,1,1,"10.14279/depositonce-16384.2"
