"identifier","date","rights","dc_contributor","dc_coverage","dc_creator","dc_date","dc_description","dc_format","dc_identifier","dc_language","dc_publisher","dc_relation","dc_rights","dc_source","dc_subject","dc_title","dc_type","dcterms_accessRights","dcterms_spatial","dcterms_temporal","refubium_affiliation","refubium_funding","refubium_isSupplementTo","refubium_note","refubium_resourceType","refubium_series","doi"
"oai:refubium.fu-berlin.de:fub188/42640","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",4,2,0,1,4,0,2,1,1,0,1,0,11,1,1,1,1,1,4,1,1,0,0,0,"10.17169/refubium-42364"
"oai:refubium.fu-berlin.de:fub188/44502","2024","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,2,0,2,2,1,0,1,0,9,1,1,1,1,0,2,0,2,0,0,0,"10.17169/refubium-44214"
"oai:refubium.fu-berlin.de:fub188/35211","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",3,0,0,1,1,0,2,1,1,0,1,0,7,2,1,1,0,0,2,0,0,0,0,0,"10.17169/refubium-34928"
"oai:refubium.fu-berlin.de:fub188/27546","2020","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",9,0,0,1,1,0,2,1,1,0,1,0,6,1,1,1,0,0,2,2,1,0,0,0,"10.17169/refubium-27301"
"oai:refubium.fu-berlin.de:fub188/35047","2022","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",2,0,0,1,1,0,2,1,1,0,1,0,4,1,1,1,0,0,2,0,0,0,0,0,"10.17169/refubium-34764"
"oai:refubium.fu-berlin.de:fub188/32085","2021","http://www.fu-berlin.de/sites/refubium/rechtliches/Nutzungsbedingungen",6,0,0,1,1,0,2,1,1,0,1,0,5,1,1,1,1,0,3,0,0,0,0,0,"10.17169/refubium-31813"
"oai:refubium.fu-berlin.de:fub188/36443","2022","https://creativecommons.org/licenses/by-nc-nd/4.0/",3,0,0,1,6,0,2,1,1,0,1,0,7,2,1,1,0,0,2,1,0,0,0,0,"10.17169/refubium-36159"
"oai:refubium.fu-berlin.de:fub188/27548.2","2020","https://creativecommons.org/licenses/by-nd/4.0/",1,1,0,1,2,0,2,3,1,0,1,0,9,2,1,1,6,1,2,4,1,1,0,0,"10.17169/refubium-27303.2"
"oai:refubium.fu-berlin.de:fub188/41546","2023","https://creativecommons.org/licenses/by/4.0/",11,0,0,1,2,0,2,1,1,0,1,0,7,2,1,1,0,0,3,3,0,2,0,0,"10.17169/refubium-41265"
"oai:refubium.fu-berlin.de:fub188/37722","2021","https://creativecommons.org/licenses/by/4.0/",2,0,0,1,1,0,2,1,1,0,1,0,6,1,1,1,1,0,1,0,0,0,0,0,"10.17169/refubium-37437"
